depth,width,n_params,instance_idx,method,verdict,wall_s,train_s,verify_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
4,512,528897,0,ours,UNSAT,66.7,55.0,11.8,300,1062565877,0.1000,0.321824,-0.000843,unsat,1.0000,4.3037,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:35:33.007364+00:00
4,512,528897,1,ours,UNSAT,63.5,51.9,11.6,300,665039295,0.1000,0.313457,-0.008705,unsat,0.9995,2.8732,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:36:45.390710+00:00
4,512,528897,2,ours,UNSAT,69.7,58.0,11.7,300,1033933442,0.1000,0.318746,-0.003915,unsat,1.0000,3.3458,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:38:03.836669+00:00
4,512,528897,3,ours,UNSAT,62.7,50.7,12.0,300,1110764368,0.1000,0.315151,-0.006560,unsat,1.0000,3.1534,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:39:15.518442+00:00
4,512,528897,4,ours,UNSAT,66.5,54.6,11.9,300,51507258,0.1000,0.318891,-0.003100,unsat,1.0000,3.6030,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:40:30.708223+00:00
4,512,528897,5,ours,UNSAT,61.3,49.6,11.7,300,1462926829,0.1000,0.319325,-0.003029,unsat,1.0000,3.9061,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:41:41.005786+00:00
4,512,528897,6,ours,UNSAT,61.1,49.5,11.6,300,1696278575,0.1000,0.321400,-0.001402,unsat,0.9995,3.4810,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:42:50.916216+00:00
4,512,528897,7,ours,UNSAT,61.1,49.5,11.6,300,505463880,0.1000,0.321535,-0.000697,unsat,1.0000,3.2571,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:44:00.873242+00:00
4,512,528897,8,ours,UNSAT,61.2,49.5,11.7,300,112988024,0.1000,0.322000,-0.001288,unsat,1.0000,3.8533,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:45:11.025186+00:00
4,512,528897,9,ours,UNSAT,62.0,50.3,11.7,300,1047336761,0.1000,0.320663,-0.001618,unsat,1.0000,3.4663,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T13:46:21.787911+00:00
