slug,status,wall_s,verdict,notes
exp1_malbeware_hashemi_clipping,PASS,251,UNSAT,""
exp1_metaroom_2023_hashemi_clipping,PASS,212,UNSAT,""
exp2_yolo_2023_ours,PASS,113,UNSAT,""
exp2_cifar10_resnet110_ours,PASS,218,UNSAT,""
exp2_vit_2023_hashemi_clipping,PASS,116,UNSAT,""
exp2_yolo_2023_hashemi_clipping,PASS,157,UNSAT,""
exp2_cifar100_2024_hashemi_clipping,PASS,958,UNSAT,""
exp2_cifar10_resnet110_hashemi_clipping,PASS,133,UNSAT,""
exp2_vit_2023_alpha_beta_crown,PASS,24,UNSAT,""
exp2_yolo_2023_alpha_beta_crown,PASS,13,UNSAT,""
exp2_cifar100_2024_alpha_beta_crown,PASS,117,TIMEOUT,""
exp2_cifar10_resnet110_alpha_beta_crown,FAIL,16,ERROR,"exit_code=1; see examples/FlowConformal/experiments/outputs/smoke_logs/exp2_cifar10_resnet110_alpha_beta_crown.log"
exp2_cifar10_resnet110_rs,PASS,9,UNKNOWN,""
exp2_cifar100_2024_rs,PASS,8,SAT,""
exp3_3d_banana_flow_unsat_ours,PASS,39,UNSAT,""
exp3_3d_banana_hyperrect_unsat_ours,PASS,10,UNSAT,""
exp3_3d_banana_ellipsoid_unsat_ours,PASS,10,UNSAT,""
exp3_3d_banana_gmm_unsat_ours,PASS,10,UNSAT,""
exp3_3d_banana_unsat_hashemi_clipping,PASS,65,UNSAT,""
exp3_synth_5d_flow_unsat_ours,PASS,47,UNSAT,""
exp3_synth_5d_hyperrect_unsat_ours,PASS,4,UNSAT,""
exp3_synth_5d_ellipsoid_unsat_ours,PASS,3,UNSAT,""
exp3_synth_5d_gmm_unsat_ours,PASS,5,UNSAT,""
exp3_synth_5d_unsat_hashemi_clipping,PASS,74,UNSAT,""
exp3_synth_10d_flow_unsat_ours,PASS,50,UNSAT,""
exp3_synth_10d_hyperrect_unsat_ours,PASS,4,UNSAT,""
exp3_synth_10d_ellipsoid_unsat_ours,PASS,4,UNSAT,""
exp3_synth_10d_gmm_unsat_ours,PASS,4,UNSAT,""
exp3_synth_10d_unsat_hashemi_clipping,PASS,122,UNSAT,""
exp3_synth_20d_flow_unsat_ours,PASS,50,UNSAT,""
exp3_synth_20d_hyperrect_unsat_ours,PASS,4,UNSAT,""
exp3_synth_20d_ellipsoid_unsat_ours,PASS,4,UNSAT,""
exp3_synth_20d_gmm_unsat_ours,PASS,5,UNSAT,""
exp3_synth_20d_unsat_hashemi_clipping,PASS,244,UNSAT,""
exp3_synth_5d_flow_sat_ours_abstention,PASS,33,UNKNOWN,""
exp4_d2_ours,PASS,78,UNSAT,""
exp4_d4_ours,PASS,166,UNSAT,""
exp4_d8_ours,PASS,279,UNSAT,""
exp4_d16_ours,PASS,503,UNSAT,""
exp4_d24_ours,PASS,747,UNSAT,""
exp4_d32_ours,PASS,969,UNSAT,""
exp4_d40_ours,PASS,1210,UNSAT,""
exp4_d2_hashemi_clipping,PASS,51,UNSAT,""
exp4_d4_hashemi_clipping,PASS,55,UNSAT,""
exp4_d8_hashemi_clipping,PASS,55,UNSAT,""
exp4_d16_hashemi_clipping,PASS,51,UNSAT,""
exp4_d24_hashemi_clipping,PASS,44,UNSAT,""
exp4_d32_hashemi_clipping,PASS,45,UNSAT,""
exp4_d40_hashemi_clipping,PASS,46,UNSAT,""
exp4_d2_alpha_beta_crown,PASS,13,UNSAT,""
exp4_d2_neuralsat,PASS,21,UNSAT,""
exp4_d8_alpha_beta_crown,FAIL,13,ERROR,"exit_code=1; see examples/FlowConformal/experiments/outputs/smoke_logs/exp4_d8_alpha_beta_crown.log"
exp4_d8_neuralsat,FAIL,11,ERROR,"exit_code=1; see examples/FlowConformal/experiments/outputs/smoke_logs/exp4_d8_neuralsat.log"
exp4_d16_alpha_beta_crown,FAIL,12,ERROR,"exit_code=1; see examples/FlowConformal/experiments/outputs/smoke_logs/exp4_d16_alpha_beta_crown.log"
exp4_d16_neuralsat,FAIL,12,ERROR,"exit_code=1; see examples/FlowConformal/experiments/outputs/smoke_logs/exp4_d16_neuralsat.log"
